Rank,Item Name,Price,Star Points,5 Star %,4 Star %,3 Star %,2 Star %,1 Star %,Reviews,Questions,Webpage
32,"URPOWER Essential Oil Diffuser, 400ml Wood Grain Cool Mist Humidifiers Ultrasonic Aromatherapy Diffusers with 4 Timer Setting and High or Low Mist Output for Home Bedroom Baby Room Study Yoga (Light)",37.99,4.7,83,12,2,1,2,899,80,www.amazon.com/URPOWER-Essential-Humidifiers-Ultrasonic-Aromatherapy/dp/B06W2GPVVC
33,Walkas Mini Portable 7 Color LED Light Cool Mist Humidifier with Timed auto shutdown for Office Home (Black),16.99,3.9,58,13,7,5,17,207,34,www.amazon.com/Walkas-Portable-Humidifier-shutdown-Office/dp/B01MQ1DBYS
34,Sol Beauty LED Ultrasonic Cool Mist Humidifier w/ Large 1.3 Liter Capacity for 7+ Hours of Continuous Use,34.99,4.7,88,7,2,2,1,68,17,www.amazon.com/Sol-Beauty-Ultrasonic-Humidifier-Continuous/dp/B075LZ861M
35,"OPOLAR Ultrasonic Cool Mist Vase Humidifier for Bedroom & Babyroom & Office with 2L Capacity, Four-way Nozzle, Quiet, Touch Switch, Night Light, Water Filter and Water Shortage Protection",49.99,5,100,0,0,0,0,15,9,www.amazon.com/OPOLAR-Ultrasonic-Humidifier-Babyroom-Protection/dp/B0772S5DX2
36,"450ml Essential Oil Diffuser, BAXIA TECHNOLOGY Aromatherapy Diffuser Ultrasonic Humidifier with 4 Timer Setting, 8 LED Color Moon Light and Waterless Auto Shut-off",21.99,4.5,78,11,3,2,6,126,38,www.amazon.com/BAXIA-TECHNOLOGY-Aromatherapy-Ultrasonic-Humidifier/dp/B074H19LQ3
37,"Ultrasonic Humidifiers for Home, TaoTronics Cool Mist Humidifier with No Noise, LED Display, 4L/1.1 Gallon Capacity, Adjustable Mist Levels, Timer, Waterless Auto Shut-off, US 110V (Black)",69.99,4.4,71,14,4,4,7,2015,258,www.amazon.com/Ultrasonic-Humidifiers-TaoTronics-Humidifier-Adjustable/dp/B075WWCY8M
38,"Crane USA Humidifiers - Blue and White Drop Ultrasonic Cool Mist Humidifier - 1 Gallon Adjustable Mist Output, Automatic Shut-off, Whisper-Quiet Operation, for Home Bedroom Office Kids Baby Nursery",42.68,3.5,46,18,9,10,17,4717,200,www.amazon.com/Crane-USA-Humidifiers-Ultrasonic-Whisper-Quiet/dp/B001ADL1SG
39,"USB Humidifier, multifun Portable Mini Humidifier, Car Humidifier with Auto Shut-off, Multi Use for Travel Office Desk Desktop Car Small Baby Bedroom with Water Bottle",15.99,3.9,57,16,7,7,13,270,52,www.amazon.com/Humidifier-multifun-Portable-Shut-off-Desktop/dp/B01HQ2L0T4
40,Vornado Evap40 4-Gallon Evaporative Humidifier,109.99,4.1,61,18,6,9,6,403,104,www.amazon.com/Vornado-Evap40-4-Gallon-Evaporative-Humidifier/dp/B00O0WOO74
41,"Honeywell HEV320B Cool Moisture Humidifier, Black",27.95,4,59,23,8,4,6,385,56,www.amazon.com/Honeywell-HEV320B-Moisture-Humidifier-Black/dp/B016ZACZ88
42,"Levoit Humidifiers Vaporizer, Cool Mist Air Ultrasonic Bedroom Humidifier with 4L Capacity for Large Room Babies Home with No Noise, Low Water Auto Shut Off, Night Light",29.99,3.9,64,16,6,6,8,201,30,www.amazon.com/Humidifiers-Vaporizer-Ultrasonic-Humidifier-Capacity/dp/B01MY47MPW
43,"URPOWER 400ml Wood Grain Essential Oil Diffuser, Running 10+ Hours Aromatherapy Diffuser for Essential Oils with 2 Mist Modes, 4 Timer Setting, Whisper Quiet Humidifiers for Bedroom, Home, Office",29.99,5,97,3,0,0,0,31,7,www.amazon.com/URPOWER-Essential-Diffuser-Aromatherapy-Humidifiers/dp/B0759CXLFQ
44,"Deneve Cool Mist Travel Humidifier Stick, Desk Top Mini Portable Personal Ultrasonic USB Powered Pure Air with No Fan (Humidifier)",19.95,4.1,64,15,6,5,10,689,85,www.amazon.com/Deneve-Humidifier-Portable-Personal-Ultrasonic/dp/B00TD17MB2
45,"Eufy Humos Air 1.0, Ultrasonic Cool Mist Humidifier with Ultra-Quiet Operation, Anti-Bacterial Water Warmer, 1.0 Gallon / 4 Liter, Up to 20 Hours Use, Auto Shut-Off, Single-Room / Studio / Office Use",33.99,4.3,59,27,6,4,4,52,15,www.amazon.com/Ultrasonic-Humidifier-Ultra-Quiet-Anti-Bacterial-Single-Room/dp/B01MDORDTL
46,Vicks Advanced Soothing Vapors Waterless Vaporizer,7.89,3.7,47,13,14,13,13,166,17,www.amazon.com/Vicks-Advanced-Soothing-Waterless-Vaporizer/dp/B002KE5X7O
47,"Honeywell HWM705B Filter Free Warm Moisture Humidifier, Black*",31.99,3.7,47,18,9,10,16,1083,103,www.amazon.com/Honeywell-HWM705B-Filter-Moisture-Humidifier/dp/B00JP6HQBG
48,"400ml Aromatherapy Essential Oil Diffuser, Tenswall Vase Shape Cool Mist Whisper-Quiet Humidifier with 4 Timer Setting and 7 LED lights Waterless Auto Shut-off",29.99,4.5,82,7,3,2,6,952,120,www.amazon.com/Aromatherapy-Essential-Diffuser£¬Tenswall-Whisper-Quiet-Humidifier/dp/B06XPZBM2R
49,URPOWER 350ml Aromatherapy Essential Oil Diffuser Humidifier with 3 Timer Settings Waterless Auto Shut-off and 7 LED Color Changing Lamps,17.99,4.5,76,12,4,3,5,694,49,www.amazon.com/URPOWER-Aromatherapy-Essential-Humidifier-Waterless/dp/B01F6QRYGA
50,Honeywell HCM-6009 Cool Moisture Console Humidifier,126.51,3.9,46,24,12,7,11,2794,416,www.amazon.com/Honeywell-HCM-6009-Moisture-Console-Humidifier/dp/B000G0LDRI
51,Vicks Starry Night Cool Moisture Humidifier,35.06,3.7,44,17,8,12,19,529,85,www.amazon.com/Vicks-Starry-Night-Moisture-Humidifier/dp/B004AUZV46
52,"Honeywell HUL520L Mistmate Cool Mist Humidifier, Blue*",29.95,3.8,49,19,8,7,17,2079,185,www.amazon.com/Honeywell-HUL520L-Mistmate-Cool-Humidifier/dp/B00NWA7H2E
53,MistAire Studio Ultrasonic Cool Mist Humidifier for Small Rooms - Portable Humidifying Unit Ideal for Travel with High & Low Mist Settings and Optional Night Light,29.99,4.2,66,14,8,2,10,117,26,www.amazon.com/MistAire-Studio-Ultrasonic-Humidifier-Small/dp/B01NAAH6EL
54,"Ultrasonic Cool Mist Humidifier SCONFID Durable Humidifying Unit with Night Light and Auto Shut-off Function for Office Home Bedroom Baby Room,250ml",12.99,3.9,29,57,7,0,7,14,8,www.amazon.com/Ultrasonic-Humidifier-SCONFID-Humidifying-Shut-off/dp/B074PKDPBG
55,Vicks Germ-Free Warm Mist Humidifier,68.62,3.3,37,22,11,13,17,963,193,www.amazon.com/Vicks-Germ-Free-Warm-Mist-Humidifier/dp/B001FWXJHS
56,"AIRCARE EP9 800 Digital Whole-House Pedestal-Style Evaporative Humidifier, Espresso*",138.68,3.9,49,23,11,6,11,660,192,www.amazon.com/EP9-800-Whole-House-Pedestal-Style-Evaporative/dp/B00I9YFXSS
57,"AIRCARE 831000 Space-Saver Evaporative Humidifier, White",97.69,3.6,46,19,9,6,20,165,44,www.amazon.com/AIRCARE-831000-Space-Saver-Evaporative-Humidifier/dp/B00WAC9VKQ
58,"TaoTronics Cool Mist 120V US Plug Ultrasonic Air Humidifier with Mechanical Switch and Low Water Protection, 11.8 x 8.7-Inch 3.5L",39.99,4,60,15,9,4,12,281,59,www.amazon.com/TaoTronics-Ultrasonic-Humidifier-Mechanical-Protection/dp/B01HMD8PAY
59,"Ultrasonic Cool Mist Humidifier, Automatic Shut-Off, 360 degree Rotatable Mist Outlet, Classic Dial Knob Control, Permanent Air and Water Filter for Home Baby Room Office with 3.8L/1 Gallon Capacity",39.99,4.5,70,18,12,0,0,17,8,www.amazon.com/Ultrasonic-Humidifier-Automatic-Rotatable-Permanent/dp/B076CBNCVX
60,"Honeywell HUL535B Cool Mist Humidifier, Black",31.99,3.6,45,19,10,9,17,781,100,www.amazon.com/Honeywell-HUL535B-Cool-Humidifier-Black/dp/B00NO06VIS
61,TomCare 500ML Square Essential Oil Diffuser Humidifiers Ultrasonic Aromatherapy Diffusers with 4 Timer Settings 7 Color Changing and Waterless Auto Shut-off for Home Office Living Room Yoga Spa,22.99,4.7,85,9,3,2,1,142,36,www.amazon.com/TomCare-Essential-Humidifiers-Ultrasonic-Aromatherapy/dp/B074DQKWZ2
62,"Honeywell HCM6011GV1 Cool Moisture Humidifier, Black",99.99,3.9,46,24,12,7,11,2794,416,www.amazon.com/Honeywell-HCM6011GV1-Moisture-Humidifier-Black/dp/B00ZA23MV2
63,"Homedics Personal Cool Mist Ultrasonic Humidifier - Portable and Travel Friendly, Plugs into USB or wall outlet, 200ml Reservoir, Runs up to 4 hours, HUM-CM10",15.26,3.5,34,19,12,10,25,358,32,www.amazon.com/Homedics-Personal-Cool-Ultrasonic-Humidifier/dp/B005JSD2EE
64,"KBAYBO Humidifier Aroma Essential Oil Diffuser, 130ml Ultrasonic Cool Mist Humidifier with LED Night Light For Office Home Bedroom Living Room Study Yoga Spa (light wood)",12.98,1.8,11,5,7,12,65,124,13,www.amazon.com/KBAYBO-Humidifier-Essential-Diffuser-Ultrasonic/dp/B06XGVJSDZ
65,"Crane USA Humidifiers - Aqua Drop Ultrasonic Cool Mist Humidifier - 1 Gallon Adjustable Mist Output, Automatic Shut-off, Whisper-Quiet Operation, for Home Bedroom Office Kids and Baby Nursery",38.49,3.5,46,18,9,10,17,4720,200,www.amazon.com/Crane-USA-Humidifiers-Ultrasonic-Whisper-Quiet/dp/B00CDZXJDA
66,"Vornado EV100 Evaporative Whole Room Humidifier with SimpleTank, 1 Gallon Capacity, White",62.04,3.9,49,24,11,7,9,96,26,www.amazon.com/Vornado-Evaporative-Humidifier-SimpleTank-Capacity/dp/B01J79RAXO
67,Essential Oil Diffuser for Aromatherapy & Ultrasonic Cool Mist Humidifier - BPA Free Diffuser for Essential Oils - 7 Colors & 4 Timer Settings - Auto Shut-Off - 300ml - The Essential Wellness,36.99,4.5,78,12,3,3,4,1376,119,www.amazon.com/Essential-Diffuser-Aromatherapy-Ultrasonic-Humidifier/dp/B00NOAKUBM
68,SimpleTaste 3L(0.79 Gal) Ultrasonic Cool Mist Humidifier Aromatherapy Aroma Essential Oil Diffuser with 7 Colors LED Whisper-Quiet,31.99,4.6,87,8,3,1,1,139,9,www.amazon.com/SimpleTaste-Ultrasonic-Humidifier-Aromatherapy-Whisper-Quiet/dp/B01N5FWUQE
69,"Vicks Vicks Vul520w Filter-free Cool Mist Humidifier, Mini",39.99,3.8,58,15,7,6,14,614,76,www.amazon.com/Vicks-Vul520w-Filter-free-Cool-Humidifier/dp/B00MOI5QUU
70,"1.7 Gal. Cool Mist Digital Humidifier for Large Rooms, Up to 600 sq. ft., with Remote- Platinum",84.95,4,56,18,8,7,11,188,58,www.amazon.com/Digital-Humidifier-Large-Remote-Platinum/dp/B00R6TFNW8
71,"Sbode Humidifier, USB 250 mL Cool Mist Humidifiers for Babies Bedroom, Night Light Mode, and Whisper Quiet for Office Home Car Travel(Green)",12.97,4.3,76,5,4,3,12,180,59,www.amazon.com/Sbode-Humidifier-Humidifiers-Bedroom-Whisper/dp/B0771K62L6
72,Vicks Warm Steam Vaporizer with Nightlight*,21.72,3.5,41,18,12,9,20,1410,137,www.amazon.com/Vicks-Warm-Steam-Vaporizer-Nightlight/dp/B0000TN7ME
73,TomCare Essential Oil Diffuser 400ml Wood Grain Aromatherapy Diffuser Ultrasonic Cool Mist Humidifiers Whisper Quiet - 7 Color Changing Lights 4 Timer Settings Mist Adjustment for Home Office Bedroom,27.99,4.4,81,9,0,5,5,21,16,www.amazon.com/TomCare-Essential-Aromatherapy-Ultrasonic-Humidifiers/dp/B073F49G73
74,Bartnelli Ultrasonic Cool Mist Humidifier with Ultra-Quiet Operation - 3.5L Tank for Water - 360 Degree Mist Nozzle - Automatic Shut Off - Certified Safety - 7 Color Night Light,33.99,4.2,72,14,0,4,10,29,10,www.amazon.com/Bartnelli-Ultrasonic-Humidifier-Ultra-Quiet-Operation/dp/B075KNH3BP
75,"PureGuardian 4L Output per Day Ultrasonic Cool Mist Humidifier, Baby Room, Nursery Humidifier, Portable Humidifier, Travel Humidifier, Small Humidifier, Desk Humidifier, Pure Guardian H940",33.99,4.1,64,13,5,5,13,311,45,www.amazon.com/PureGuardian-Ultrasonic-Humidifier-Guardian-H940/dp/B01AW4D3UC
76,"REIDEA 500ml Aromatherapy Essential Oil Diffuser Humidifier with 7 Color Breathing LED Lights, Cool Mist Humidifier with Adjustable Mist for Baby Infant Student Home Office Bedroom Yoga",31.99,4.7,86,5,5,2,2,42,8,www.amazon.com/REIDEA-Aromatherapy-Essential-Humidifier-Adjustable/dp/B074299XFS
77,1.1 Gal. Cool Mist Humidifier for Medium Rooms - Up To 400 sq. ft. - Black,39.97,3.9,53,19,9,5,14,99,21,www.amazon.com/Gal-Cool-Humidifier-Medium-Rooms/dp/B00OOAHENS
78,"Ultrasonic Cool Mist Humidifier, ALIWELL 1.7L Air Humidifiers Essential Oil Diffuser for Office Home Bedroom Automatic Shut-Off Whisper Quiet Operation with 7 Color Soft Night Lights",32.99,3.6,65,7,4,6,18,160,20,www.amazon.com/Ultrasonic-Humidifier-ALIWELL-Humidifiers-Essential/dp/B074J92WF4
79,"1byone 6L / 1.59gal Humidifier Ultrasonic Cool Mist for Home, Bedroom, Office - Whisper Quiet Humidifying Unit with 7 Colors LED, Aromatherapy Essential Oil Aroma Diffuser, Purple",39.99,4.3,76,10,3,3,8,127,37,www.amazon.com/1byone-1-59gal-Humidifier-Ultrasonic-Bedroom/dp/B01MDUOQBP
80,"KBAYBO Humidifier Aroma Essential Oil Diffuser, 130ml Ultrasonic Cool Mist Humidifier with LED Night Light For Office Home Bedroom Living Room Study Yoga Spa (Dark wood)",12.98,1.8,11,5,7,12,65,124,13,www.amazon.com/KBAYBO-Humidifier-Essential-Diffuser-Ultrasonic/dp/B072J8HGH3
81,"Xikar xi809 Crystal Humidifier Jar, 2 oz",9.39,3.8,55,12,11,10,12,226,24,www.amazon.com/Xikar-xi809-Crystal-Humidifier-Jar/dp/B00309VX2C
82,"HoMedics Cool Mist Ultrasonic Humidifier - 1 Gallon, Runs up to 45 hours, On/Off Night Light, Auto shut-off, Demineralization Cartridge Included, UHE-CM45B",49.99,3.5,33,18,9,17,23,235,29,www.amazon.com/HoMedics-Cool-Mist-Ultrasonic-Humidifier/dp/B00EW1QJPS
83,"PureGuardian 3.5L Output per Day Ultrasonic Cool Mist Humidifier, Baby Room, Nursery Humidifier, Portable Humidifier, Travel Humidifier, Small Humidifier, Desk Humidifier, Pure Guardian H910BL",26.87,3.7,43,19,17,9,12,217,22,www.amazon.com/PureGuardian-Ultrasonic-Humidifier-Guardian-H910BL/dp/B01AW4D4BU
84,BONECO Travel Cool Mist Ultrasonic Humidifier 7146,49.99,3.9,54,18,7,7,14,1224,100,www.amazon.com/BONECO-Travel-Cool-Ultrasonic-Humidifier/dp/B001JL4LZ4
85,"URPOWER Essential Oil Diffuser, Wood Grain Base Oil Diffuser for Essential Oils Auto Shut-off Diffuser Essential Oils Aromatherapy with Adjustable Mist Mode, 7 Color LED Lights for Bedroom Home Office",17.99,4.5,80,12,0,0,8,25,5,www.amazon.com/URPOWER-Essential-Shut-off-Diffuser-Aromatherapy-Adjustable/dp/B0759SXRPQ
86,"Rosewill Ultrasonic Cool Mist Humidifier for Bedroom Filter Free with No Noise Adjustable Dual Nozzle Mist Outlet 5 Liter / 1.3 Gallon, Black, RHHD-14002*",34.99,4.2,61,19,11,4,5,198,44,www.amazon.com/Rosewill-Ultrasonic-Humidifier-Adjustable-RHHD-14002/dp/B00PTAGF9Q
87,"Xikar Humidifier Solution 16 Oz. (1, white)",15.36,4.6,79,15,2,2,2,400,22,www.amazon.com/Xikar-Humidifier-Solution-Oz-white/dp/B0040OEB6G
88,"SimpleTaste 4L(1.06 Gallon) Ultrasonic Cool Mist Humidifier Aroma Essential Oil Diffuser with LCD Display, 3 Mist Level Control , Timer Setting, and 7 Colors LED Light Whisper-Quiet",51.99,4.4,77,6,5,8,4,100,31,www.amazon.com/SimpleTaste-Ultrasonic-Humidifier-Essential-Whisper-Quiet/dp/B01N2XLUR2
89,"AMIR 100ml Essential Oil Diffuser, Aromatherapy Ultrasonic Mist Air Humidifier with Color-changing LED Lights - Waterless Auto Shut-off, Portable for Home, Yoga, Office, Spa, Baby Room, Etc",14.99,4.4,74,15,4,3,4,413,23,www.amazon.com/AMIR-Aromatherapy-Ultrasonic-Humidifier-Color-changing/dp/B013QMDYDI
90,"URPOWER Humidifiers, 4L Whisper-quiet Operation Ultrasonic Cool Mist Humidifier Waterless Auto Shut-off Air Humidifier with Adjustable Mist Mode Sleep Mode Humidifiers for Bedroom Babyroom Office",49.99,4,67,10,2,4,17,58,16,www.amazon.com/URPOWER-Humidifiers-Whisper-quiet-Ultrasonic-Humidifier/dp/B073P7XNP4
91,"NEXGADGET Cool Mist Humidifier - Ultrasonic Room Humidifier With Two 360 Degree Rotatable Mist Outlets, Adjustable Mist Control, 7 Color Lights Features",49.99,4.8,93,3,2,1,1,95,15,www.amazon.com/NEXGADGET-Cool-Mist-Humidifier-Ultrasonic/dp/B0718XX845
92,"Travel Ultrasonic Humidifier - Mini Cool Mist Water Bottle Humidifier Offers Perfect Portable Solution for Home, Office, Hotel, and More",29.99,3.4,47,14,10,7,22,320,29,www.amazon.com/Travel-Ultrasonic-Humidifier-Portable-Solution/dp/B01D0POS7W
93,"PureGuardian Ultrasonic Cool Mist Humidifier, Baby Room, Nursery Humidifier, Portable Humidifier, Travel Humidifier, Small Humidifier, Desk Humidifier, Pure Guardian H920BL",29.99,3.6,46,19,10,7,18,1094,108,www.amazon.com/PureGuardian-Ultrasonic-Humidifier-Guardian-H920BL/dp/B009COIFAC
94,"REIDEA Ultrasonic Humidifier, 3L Whisper-Quiet Cool Mist Humidifier with LED Display, Adjustable 40-85% RH & Two Mist Levels Humidifying Unit for Home Bedroom Baby Office Yoga Spray",58.99,4.5,84,0,0,0,16,31,4,www.amazon.com/REIDEA-Ultrasonic-Humidifier-Whisper-Quiet-Humidifying/dp/B073XDHBCC
